condition,scene_id,method,pixels,proxy_positive_pixels,exact_zero_proxy_pixels,proxy_positive_called_pass,proxy_positive_flagged,proxy_positive_unknown,exact_zero_proxy_called_pass,exact_zero_proxy_flagged,unknown_pixels,pass_pixels,flag_pixels,scope_positive_pass_fraction,zero_proxy_pass_fraction,unknown_fraction,bounded_inference_seconds,evidence_type,assumed_physical_contamination_in_stress
strong,1,interval_three_frequencies,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
patchy,0,uniform_DC,1024,256,768,252,4,0,754,14,0,1006,18,0.984375,0.9817708333333334,0.0,,SYNTHETIC,False
patchy,0,single_frequency_modulation,1024,256,768,0,256,0,768,0,0,768,256,0.0,1.0,0.0,,SYNTHETIC,False
patchy,0,multi_frequency_point_estimate,1024,256,768,0,256,0,768,0,0,768,256,0.0,1.0,0.0,,SYNTHETIC,False
patchy,0,bounded_interval,1024,256,768,0,256,0,768,0,0,768,256,0.0,1.0,0.0,0.0009310340000183714,SYNTHETIC,False
patchy,0,interval_two_frequencies,1024,256,768,0,256,0,768,0,0,768,256,0.0,1.0,0.0,,SYNTHETIC,False
patchy,0,interval_three_frequencies,1024,256,768,0,256,0,768,0,0,768,256,0.0,1.0,0.0,,SYNTHETIC,False
patchy,1,uniform_DC,1024,256,768,255,1,0,762,6,0,1017,7,0.99609375,0.9921875,0.0,,SYNTHETIC,False
patchy,1,single_frequency_modulation,1024,256,768,0,256,0,768,0,0,768,256,0.0,1.0,0.0,,SYNTHETIC,False
patchy,1,multi_frequency_point_estimate,1024,256,768,0,256,0,768,0,0,768,256,0.0,1.0,0.0,,SYNTHETIC,False
patchy,1,bounded_interval,1024,256,768,0,256,0,768,0,0,768,256,0.0,1.0,0.0,0.0009120859999711683,SYNTHETIC,False
patchy,1,interval_two_frequencies,1024,256,768,0,256,0,768,0,0,768,256,0.0,1.0,0.0,,SYNTHETIC,False
patchy,1,interval_three_frequencies,1024,256,768,0,256,0,768,0,0,768,256,0.0,1.0,0.0,,SYNTHETIC,False
anisotropic,0,uniform_DC,1024,1024,0,1016,8,0,0,0,0,1016,8,0.9921875,,0.0,,SYNTHETIC,False
anisotropic,0,single_frequency_modulation,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
anisotropic,0,multi_frequency_point_estimate,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
anisotropic,0,bounded_interval,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,0.0009361420000004728,SYNTHETIC,False
anisotropic,0,interval_two_frequencies,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
anisotropic,0,interval_three_frequencies,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
anisotropic,1,uniform_DC,1024,1024,0,1016,8,0,0,0,0,1016,8,0.9921875,,0.0,,SYNTHETIC,False
anisotropic,1,single_frequency_modulation,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
anisotropic,1,multi_frequency_point_estimate,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
anisotropic,1,bounded_interval,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,0.0009044939999967028,SYNTHETIC,False
anisotropic,1,interval_two_frequencies,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
anisotropic,1,interval_three_frequencies,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
