name,budget_label,assumption_status,raw_fov_m2,effective_fov_m2,accessible_area_m2,coverage_fraction,views,frames_per_view,capture_per_view_s,per_view_s,total_s,total_minutes,within_30_minutes,profile,target
conservative:5m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,4.0,0.8,72,60.0,2.0,6.0,552.0,9.2,True,conservative,5m2
conservative:5m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,4.0,0.8,72,36.0,1.2,5.2,494.40000000000003,8.24,True,conservative,5m2
conservative:12m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,9.0,0.75,161,22.9,0.7633333333333333,4.763333333333334,886.8966666666668,14.781611111111113,True,conservative,12m2
conservative:12m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,9.0,0.75,161,60.0,2.0,6.0,1086.0,18.1,True,conservative,12m2
conservative:12m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,9.0,0.75,161,60.0,2.0,6.0,1086.0,18.1,True,conservative,12m2
conservative:12m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,9.0,0.75,161,36.0,1.2,5.2,957.2,15.953333333333335,True,conservative,12m2
conservative:25m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,16.25,0.65,289,22.9,0.7633333333333333,4.763333333333334,1496.6033333333335,24.94338888888889,True,conservative,25m2
conservative:25m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,16.25,0.65,289,60.0,2.0,6.0,1854.0,30.9,False,conservative,25m2
conservative:25m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,16.25,0.65,289,60.0,2.0,6.0,1854.0,30.9,False,conservative,25m2
conservative:25m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,16.25,0.65,289,36.0,1.2,5.2,1622.8,27.046666666666667,True,conservative,25m2
stress:1m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,0.95,0.95,49,22.9,1.145,9.145,628.105,10.468416666666666,True,stress,1m2
stress:1m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,0.95,0.95,49,60.0,3.0,11.0,719.0,11.983333333333333,True,stress,1m2
stress:1m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,0.95,0.95,49,60.0,3.0,11.0,719.0,11.983333333333333,True,stress,1m2
stress:1m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,0.95,0.95,49,36.0,1.8,9.8,660.2,11.003333333333334,True,stress,1m2
stress:5m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,4.0,0.8,206,22.9,1.145,9.145,2063.87,34.39783333333333,False,stress,5m2
stress:5m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,4.0,0.8,206,60.0,3.0,11.0,2446.0,40.766666666666666,False,stress,5m2
stress:5m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,4.0,0.8,206,60.0,3.0,11.0,2446.0,40.766666666666666,False,stress,5m2
stress:5m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,4.0,0.8,206,36.0,1.8,9.8,2198.8,36.64666666666667,False,stress,5m2
stress:12m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,9.0,0.75,462,22.9,1.145,9.145,4404.99,73.4165,False,stress,12m2
stress:12m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,9.0,0.75,462,60.0,3.0,11.0,5262.0,87.7,False,stress,12m2
stress:12m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,9.0,0.75,462,60.0,3.0,11.0,5262.0,87.7,False,stress,12m2
stress:12m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,9.0,0.75,462,36.0,1.8,9.8,4707.6,78.46000000000001,False,stress,12m2
stress:25m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,16.25,0.65,834,22.9,1.145,9.145,7806.929999999999,130.1155,False,stress,25m2
stress:25m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,16.25,0.65,834,60.0,3.0,11.0,9354.0,155.9,False,stress,25m2
stress:25m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,16.25,0.65,834,60.0,3.0,11.0,9354.0,155.9,False,stress,25m2
stress:25m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.03,0.0195,16.25,0.65,834,36.0,1.8,9.8,8353.2,139.22,False,stress,25m2
